age,gender,genre
27,1,Jazz
22,0,Classical
28,0,Acoustic
37,1,Dance
29,0,Acoustic
28,1,Classical
28,1,Jazz
20,0,Classical
33,1,Classical
29,1,Jazz
26,0,Acoustic
37,0,Classical
28,0,Acoustic
25,1,HipHop
27,1,Jazz
33,0,Classical
28,0,Acoustic
20,0,Dance
32,0,Classical
26,1,Jazz
37,1,Classical
34,1,HipHop
27,1,Jazz
35,1,Classical
27,0,Acoustic
33,1,Classical
29,0,Acoustic
23,0,Dance
26,1,Jazz
34,1,Classical
25,0,Dance
25,0,Dance
22,0,Jazz
29,0,HipHop
37,1,Jazz
22,0,Dance
29,1,Jazz
36,1,Classical
27,0,Acoustic
31,1,Classical
22,0,Dance
29,0,Classical
28,1,Jazz
34,1,Jazz
35,1,Classical
37,1,Classical
30,0,Acoustic
29,0,Dance
30,1,Jazz
25,0,Dance
29,0,Acoustic
28,1,Jazz
28,0,Acoustic
36,1,Jazz
24,1,HipHop
33,0,Classical
34,0,Classical
26,0,Acoustic
20,1,Acoustic
24,0,Dance
33,0,Classical
29,1,Jazz
24,1,HipHop
26,1,Jazz
31,0,Classical
30,0,Acoustic
28,1,Jazz
25,0,Dance
27,1,Jazz
24,1,HipHop
35,0,Classical
25,0,Dance
35,1,Classical
35,0,Classical
34,1,Classical
27,1,Jazz
31,1,Classical
29,1,Jazz
22,0,Dance
29,0,Acoustic
23,1,Jazz
33,0,Classical
27,1,Dance
28,0,Acoustic
28,0,Acoustic
28,1,Jazz
30,0,Acoustic
25,0,HipHop
31,0,Classical
20,0,Dance
28,0,Acoustic
37,1,Classical
24,1,HipHop
24,0,Dance
32,1,Classical
28,0,HipHop
31,1,Classical
31,1,HipHop
30,0,Acoustic
35,1,Classical
29,0,Acoustic
28,1,Jazz
30,0,Classical
37,1,Classical
28,1,Jazz
24,1,HipHop
33,0,Classical
26,0,Acoustic
20,1,HipHop
33,1,Classical
26,1,Jazz
27,0,Acoustic
29,0,Acoustic
30,1,Jazz
31,0,HipHop
27,1,Acoustic
30,0,Acoustic
28,1,Jazz
31,0,Classical
32,1,Classical
24,1,Classical
32,0,Classical
24,0,Dance
31,0,Classical
31,1,Classical
37,1,Classical
26,0,Acoustic
25,0,Dance
27,0,Acoustic
25,0,HipHop
31,0,Dance
21,1,HipHop
22,0,Dance
22,0,Dance
32,0,Classical
36,0,Acoustic
26,0,Acoustic
28,1,Jazz
29,1,Jazz
33,0,Acoustic
22,0,Dance
28,0,Acoustic
34,1,Classical
32,1,Classical
28,0,Acoustic
34,1,Classical
20,0,Dance
32,1,Classical
26,1,Jazz
20,1,HipHop
30,0,Jazz
34,0,Classical
28,1,Classical
32,0,Dance
37,1,Classical
36,1,Acoustic
37,1,Classical
31,0,Acoustic
27,0,Acoustic
20,0,Dance
26,0,Acoustic
23,0,Dance
37,1,Dance
26,0,Acoustic
28,0,Acoustic
32,1,Classical
27,0,Acoustic
35,0,Classical
24,0,Dance
28,0,Acoustic
23,0,Dance
22,1,HipHop
24,0,Dance
29,1,Jazz
25,0,Dance
24,0,Dance
22,1,HipHop
27,0,Acoustic
20,0,Dance
33,1,Classical
29,1,Jazz
22,1,HipHop
25,0,Acoustic
25,1,HipHop
29,0,Acoustic
36,1,Classical
20,0,Dance
28,0,Acoustic
28,1,Jazz
30,0,Acoustic
30,1,Jazz
23,0,Dance
25,0,Dance
25,1,HipHop
32,0,Classical
29,1,Jazz
37,0,Classical
27,0,Acoustic
23,0,Acoustic
21,1,HipHop
20,1,HipHop
20,0,Dance
30,1,Jazz
32,1,Dance
21,1,HipHop
31,0,Classical
27,1,Jazz
28,0,Classical
35,0,Classical
33,1,Classical
28,1,Jazz
23,0,Dance
20,0,Dance
23,0,Dance
26,0,Acoustic
22,0,Dance
26,0,Acoustic
27,0,Acoustic
28,1,Dance
24,0,Dance
28,0,Acoustic
29,0,Dance
24,1,HipHop
34,0,Classical
29,1,Jazz
29,1,Acoustic
33,1,Classical
28,0,Acoustic
34,1,Classical
30,1,Jazz
26,1,Jazz
31,1,Classical
23,1,HipHop
30,1,Jazz
27,0,Acoustic
26,0,Acoustic
28,1,Jazz
20,1,HipHop
26,1,Classical
27,0,Acoustic
28,0,Acoustic
24,1,Acoustic
33,0,Classical
23,0,Dance
32,0,Classical
31,1,Acoustic
26,1,Jazz
37,1,Dance
23,1,HipHop
32,0,Classical
34,1,Classical
26,1,Jazz
36,1,Classical
28,1,Jazz
28,0,Acoustic
28,0,Acoustic
26,0,Acoustic
33,1,Classical
33,1,Classical
20,0,HipHop
34,0,Classical
20,0,Dance
34,1,Classical
33,0,Classical
24,1,HipHop
25,0,Dance
23,1,HipHop
28,1,Jazz
25,0,Dance
33,1,Dance
34,0,Classical
36,1,Classical
24,0,Dance
28,1,Jazz
20,0,Dance
23,0,Dance
32,0,Classical
35,0,Classical
21,0,Dance
26,1,Jazz
29,1,Acoustic
30,1,Jazz
23,0,Acoustic
31,1,Classical
27,1,Jazz
27,0,Acoustic
30,0,Dance
27,0,Acoustic
25,0,Dance
26,0,Acoustic
29,1,Jazz
27,1,Jazz
28,1,Jazz
37,1,Classical
30,0,Acoustic
26,0,Acoustic
32,1,Classical
25,0,Dance
35,1,Jazz
31,1,Classical
26,0,Acoustic
29,0,Classical
20,0,Dance
23,1,HipHop
21,0,Classical
28,0,Acoustic
36,0,Classical
37,0,HipHop
30,0,Acoustic
32,1,Classical
20,0,Dance
26,1,Jazz
25,1,HipHop
24,0,Dance
26,0,Acoustic
27,1,Jazz
20,1,HipHop
33,1,Classical
22,0,Dance
30,1,Jazz
37,1,Classical
24,1,Dance
20,0,Dance
28,1,Jazz
33,0,Classical
37,1,Classical
21,0,Dance
31,1,Classical
25,0,Dance
26,0,Acoustic
37,0,Classical
20,0,Dance
28,0,Acoustic
31,1,Classical
34,1,Classical
27,0,Acoustic
29,0,Acoustic
25,0,Dance
30,1,Dance
25,0,HipHop
32,1,Classical
25,0,Dance
31,1,Classical
29,1,Jazz
35,1,Acoustic
27,0,Acoustic
20,1,HipHop
35,1,Classical
22,0,Jazz
24,0,Dance
24,0,Dance
34,0,Classical
20,1,HipHop
37,0,Classical
32,0,HipHop
28,0,Acoustic
29,1,Jazz
30,1,Jazz
30,0,Classical
32,1,Classical
32,1,HipHop
27,0,Acoustic
26,0,HipHop
26,0,Acoustic
28,1,Jazz
33,0,Classical
32,1,Classical
20,0,Dance
30,0,Acoustic
30,1,Jazz
27,0,Acoustic
27,1,HipHop
33,0,Classical
34,1,Classical
23,0,Dance
31,1,Classical
24,1,HipHop
20,0,Dance
24,0,Dance
33,1,Classical
34,1,Classical
32,1,Classical
31,0,Classical
32,1,Classical
26,1,Jazz
29,0,HipHop
31,0,Jazz
33,1,Jazz
33,0,Classical
33,1,Classical
29,0,Jazz
32,0,Classical
29,1,Jazz
23,0,Dance
26,0,Acoustic
25,1,HipHop
24,0,Dance
26,0,HipHop
23,0,Dance
27,1,Classical
20,0,Dance
28,0,Acoustic
29,1,Jazz
25,1,HipHop
30,0,Acoustic
32,0,Classical
21,1,HipHop
25,1,HipHop
23,0,Dance
24,1,Acoustic
33,1,Classical
26,0,Acoustic
28,1,Jazz
20,1,HipHop
30,0,Acoustic
23,1,HipHop
29,1,Jazz
28,0,Acoustic
36,1,Classical
22,1,HipHop
20,0,Dance
28,0,Acoustic
36,0,Classical
35,1,Classical
28,0,Acoustic
27,1,Jazz
33,1,Classical
22,0,Dance
31,1,Classical
30,0,Acoustic
32,0,Classical
37,0,Classical
29,0,Acoustic
26,1,Jazz
27,0,Acoustic
20,0,Dance
26,1,Jazz
25,0,Dance
24,0,Dance
28,0,Acoustic
25,1,HipHop
35,1,Dance
29,1,Jazz
29,1,Jazz
25,0,Dance
30,1,Jazz
33,1,Classical
25,1,HipHop
26,1,Jazz
27,1,Jazz
22,1,HipHop
25,1,HipHop
27,1,HipHop
31,0,HipHop
30,1,Classical
28,0,Acoustic
31,0,Dance
28,1,Jazz
29,0,Acoustic
28,1,Jazz
28,0,Acoustic
24,0,Dance
20,1,HipHop
26,0,Acoustic
34,0,Classical
32,0,Classical
32,0,Classical
35,1,Acoustic
27,0,Acoustic
28,0,Acoustic
24,0,Dance
27,1,Jazz
32,1,Classical
35,1,Classical
26,0,Acoustic
27,1,Jazz
27,0,Acoustic
32,1,Classical
20,0,Dance
20,0,Acoustic
26,1,Jazz
21,0,Dance
24,0,Dance
28,1,Jazz
27,1,HipHop
36,1,Classical
29,0,Acoustic
31,1,Classical
32,1,Classical
21,0,HipHop
34,1,Classical
27,0,Acoustic
30,0,Acoustic
24,1,Jazz
21,1,Jazz
31,0,HipHop
29,0,Acoustic
24,1,HipHop
25,1,HipHop
33,0,Classical
21,0,Dance
37,1,Dance
24,1,Dance
32,1,Classical
27,1,Acoustic
30,0,Acoustic
26,1,Jazz
28,1,Jazz
29,1,Jazz
22,0,Dance
33,1,Classical
26,1,Jazz
28,1,Jazz
22,0,Dance
20,0,Dance
26,0,Acoustic
37,1,Classical
31,0,Acoustic
29,1,Jazz
26,0,Acoustic
29,1,Jazz
32,1,Classical
21,0,Acoustic
33,0,Classical
33,1,Classical
31,0,HipHop
29,0,Acoustic
29,1,Jazz
30,0,Acoustic
32,1,Classical
25,0,Dance
24,0,Dance
30,1,Jazz
35,0,Classical
21,0,Dance
22,1,HipHop
30,1,Jazz
27,0,Acoustic
28,0,Acoustic
30,1,Jazz
26,0,Acoustic
34,0,Classical
20,0,Dance
23,0,Dance
26,0,Acoustic
21,1,HipHop
26,0,Jazz
37,1,Classical
29,1,Jazz
28,0,Acoustic
21,0,Acoustic
26,1,Jazz
27,1,Classical
25,0,Dance
35,1,Classical
32,1,Classical
21,0,Dance
30,1,Jazz
31,1,Classical
33,0,Classical
35,0,Classical
24,1,HipHop
23,0,Classical
23,1,HipHop
28,1,Jazz
31,1,Classical
32,0,Classical
29,1,Jazz
27,1,Jazz
28,0,Dance
25,1,HipHop
37,1,Classical
20,0,Dance
28,0,Acoustic
37,0,Classical
27,0,Acoustic
28,1,Jazz
27,1,Jazz
26,0,Classical
36,1,Jazz
20,0,HipHop
37,1,Jazz
20,0,Dance
26,0,Acoustic
27,1,Jazz
32,1,Classical
20,0,Dance
31,1,Classical
37,1,HipHop
22,1,HipHop
28,0,Acoustic
26,1,Jazz
31,1,Acoustic
29,1,Jazz
24,0,Dance
29,0,Acoustic
37,1,Classical
28,1,Jazz
31,0,Classical
23,1,HipHop
24,1,HipHop
29,0,Acoustic
36,1,Classical
31,1,Dance
25,0,Dance
27,0,Acoustic
21,0,Dance
30,0,Acoustic
33,1,Classical
25,0,Dance
25,0,Dance
28,0,Acoustic
27,1,Jazz
27,0,Acoustic
37,1,Classical
28,1,Jazz
27,1,Jazz
24,0,Classical
33,1,Jazz
26,0,Acoustic
26,1,Jazz
36,1,Classical
36,1,Classical
24,0,Dance
20,1,HipHop
32,0,Classical
26,1,Jazz
33,1,Classical
20,0,Dance
33,1,Classical
21,0,HipHop
33,1,Classical
29,1,Jazz
24,1,HipHop
25,0,Dance
32,1,Classical
28,0,Acoustic
30,0,Acoustic
37,0,Classical
21,1,Acoustic
35,0,Classical
28,0,Acoustic
25,1,HipHop
20,0,Dance
28,1,Jazz
34,1,Classical
28,1,Jazz
37,1,HipHop
22,1,HipHop
29,1,Jazz
23,1,HipHop
29,0,Acoustic
31,0,Classical
25,0,Dance
20,1,HipHop
30,1,Jazz
29,0,Acoustic
31,1,Classical
33,0,Classical
22,0,Dance
30,0,Acoustic
33,0,Classical
20,0,Dance
31,1,Classical
24,0,Jazz
27,0,Acoustic
31,1,Classical
25,0,Dance
26,1,Classical
29,1,Jazz
22,0,Dance
24,1,HipHop
32,1,Classical
23,1,HipHop
32,1,Classical
31,1,Classical
20,1,HipHop
26,1,Jazz
33,0,Classical
22,0,Classical
25,0,Dance
29,0,Acoustic
31,0,Classical
26,0,Dance
24,0,Dance
34,0,Classical
36,0,Classical
34,1,Classical
29,1,Jazz
25,1,HipHop
25,1,Jazz
32,1,Classical
31,1,Classical
34,0,Classical
32,1,Classical
20,0,Dance
32,0,Classical
24,1,Jazz
25,0,Dance
28,0,Acoustic
37,0,Classical
37,1,Classical
30,0,Acoustic
28,1,Jazz
32,1,HipHop
31,0,Classical
27,1,Jazz
36,0,Classical
28,0,HipHop
29,0,HipHop
32,1,Dance
31,1,Jazz
33,1,Classical
24,0,Dance
24,0,Jazz
23,1,HipHop
29,0,Acoustic
33,1,Classical
31,1,Classical
35,0,Classical
29,1,Jazz
30,0,Acoustic
22,0,Dance
25,0,Dance
32,1,Dance
33,1,Classical
28,1,Jazz
27,0,Classical
21,1,Classical
25,0,Dance
33,1,Classical
32,1,Classical
32,1,Classical
27,0,Acoustic
27,0,Dance
24,0,Dance
32,1,Classical
31,1,Dance
31,1,Jazz
26,1,Classical
20,0,Dance
32,0,Classical
25,0,Dance
25,1,HipHop
32,1,Classical
27,1,Jazz
32,0,Classical
32,1,Classical
32,1,Classical
20,0,Dance
35,1,Classical
28,0,Classical
25,0,Dance
28,0,Acoustic
20,1,HipHop
31,1,Classical
22,0,Dance
20,0,Dance
21,1,HipHop
35,1,Jazz
24,0,HipHop
35,0,Classical
24,0,Classical
20,0,Dance
21,0,Dance
35,1,HipHop
28,1,Jazz
26,1,Jazz
28,0,Acoustic
32,1,Acoustic
33,0,Classical
36,1,Acoustic
25,0,Jazz
20,0,Dance
27,1,Jazz
28,0,Acoustic
22,0,Dance
22,0,HipHop
29,0,Acoustic
27,0,Acoustic
29,1,Jazz
25,1,HipHop
26,0,Acoustic
22,0,Jazz
31,0,HipHop
34,1,Classical
20,1,HipHop
22,0,Dance
22,1,HipHop
24,0,Dance
29,1,Jazz
22,1,HipHop
24,1,Acoustic
24,1,HipHop
30,1,HipHop
29,1,Jazz
25,1,HipHop
28,0,Dance
24,0,Dance
26,0,Acoustic
37,1,Classical
34,0,Classical
21,0,Dance
33,1,Dance
31,0,Classical
21,0,Dance
33,1,Classical
37,1,Classical
21,0,Dance
24,1,HipHop
32,0,Classical
30,1,Jazz
30,0,Acoustic
31,1,Classical
29,0,Acoustic
20,0,Dance
34,1,Classical
33,0,Classical
26,0,Acoustic
27,0,Acoustic
21,1,HipHop
30,0,Jazz
30,0,Acoustic
27,0,Acoustic
35,1,Classical
25,0,Jazz
32,1,Classical
24,1,Jazz
27,0,HipHop
26,0,Acoustic
28,0,Acoustic
27,1,Acoustic
28,1,Jazz
33,1,Classical
27,1,Jazz
21,1,HipHop
36,0,Dance
34,0,Dance
21,0,Dance
32,1,Classical
26,1,Jazz
28,0,Acoustic
30,1,Jazz
28,1,Jazz
23,0,Dance
26,1,Jazz
22,0,Dance
23,0,Dance
27,0,Acoustic
25,1,Classical
32,1,Classical
34,0,Classical
26,1,Jazz
30,1,Jazz
31,1,Classical
29,0,Acoustic
29,1,Jazz
31,0,Classical
31,1,HipHop
23,1,HipHop
31,0,Classical
33,1,HipHop
23,0,Dance
29,1,Classical
32,1,Dance
28,1,Jazz
32,0,Classical
37,1,Classical
23,0,Dance
20,0,Dance
29,0,Acoustic
33,1,Classical
26,0,Acoustic
36,1,HipHop
20,0,Acoustic
32,1,Jazz
24,0,Dance
37,1,Classical
37,1,Classical
25,1,HipHop
24,0,Dance
31,0,Classical
25,0,Dance
29,1,Jazz
29,1,Acoustic
20,1,HipHop
29,1,Jazz
26,1,Jazz
25,0,Dance
34,0,Jazz
23,1,HipHop
33,1,Classical
28,1,Jazz
26,0,Acoustic
33,1,Classical
29,0,Jazz
